index,score,display_name,category_name
0,7.583289516333025e-07,,_neutral
1,0.0013506775721907616,,browDownLeft
2,0.0005657936562784016,,browDownRight
3,0.47478538751602173,,browInnerUp
4,0.2670569121837616,,browOuterUpLeft
5,0.3080676198005676,,browOuterUpRight
6,5.5249142860702705e-06,,cheekPuff
7,3.5413478371992824e-07,,cheekSquintLeft
8,1.3080165217616013e-07,,cheekSquintRight
9,0.10063160955905914,,eyeBlinkLeft
10,0.10377423465251923,,eyeBlinkRight
11,0.07430508732795715,,eyeLookDownLeft
12,0.08618627488613129,,eyeLookDownRight
13,0.029641585424542427,,eyeLookInLeft
14,0.10554234683513641,,eyeLookInRight
15,0.11138121783733368,,eyeLookOutLeft
16,0.04622170701622963,,eyeLookOutRight
17,0.1170620322227478,,eyeLookUpLeft
18,0.11505112797021866,,eyeLookUpRight
19,0.3512633442878723,,eyeSquintLeft
20,0.22452808916568756,,eyeSquintRight
21,0.006672321353107691,,eyeWideLeft
22,0.005157869309186935,,eyeWideRight
23,2.5266805096180178e-05,,jawForward
24,0.00017016663332469761,,jawLeft
25,0.002346623921766877,,jawOpen
26,0.0002609491057228297,,jawRight
27,0.00044860373600386083,,mouthClose
28,0.0025916537269949913,,mouthDimpleLeft
29,0.0011114563094452024,,mouthDimpleRight
30,0.0003484027402009815,,mouthFrownLeft
31,0.00047823000932112336,,mouthFrownRight
32,0.0024495022371411324,,mouthFunnel
33,0.00428429851308465,,mouthLeft
34,0.00022259008255787194,,mouthLowerDownLeft
35,0.00023572416102979332,,mouthLowerDownRight
36,0.009463739581406116,,mouthPressLeft
37,0.010463852435350418,,mouthPressRight
38,0.3294474184513092,,mouthPucker
39,0.0007488909759558737,,mouthRight
40,0.014521959237754345,,mouthRollLower
41,0.002325109438970685,,mouthRollUpper
42,0.06258149445056915,,mouthShrugLower
43,0.02802410162985325,,mouthShrugUpper
44,2.5688441382953897e-05,,mouthSmileLeft
45,2.555656828917563e-05,,mouthSmileRight
46,0.00018283550161868334,,mouthStretchLeft
47,0.0010778105352073908,,mouthStretchRight
48,0.00019282336870674044,,mouthUpperUpLeft
49,0.0001897961483336985,,mouthUpperUpRight
50,3.1895872325549135e-06,,noseSneerLeft
51,2.0046010718033358e-07,,noseSneerRight
